  place,date,   HumidMean,   HumidMax,   HumidMin
  Hupsel,20161030,   93,  100,   75
  Hupsel,20161031,   91,  100,   66
  Hupsel,20161101,   96,  100,   87
  Hupsel,20161102,   91,  100,   71
  Hupsel,20161103,   97,  100,   89
  Hupsel,20161104,   86,   95,   72
  Hupsel,20161105,   93,   99,   81
  Hupsel,20161106,   89,   95,   82
  Hupsel,20161107,   96,  100,   92
  Hupsel,20161108,   94,  100,   80
  Hupsel,20161109,   95,   99,   91
  Hupsel,20161110,   97,  100,   90
  Hupsel,20161111,   89,   99,   72
  Hupsel,20161112,   86,   99,   75
  Hupsel,20161113,   86,   98,   75
  Hupsel,20161114,   90,   99,   77
  Hupsel,20161115,  100,  100,   99
  Hupsel,20161116,   93,  100,   80
  Hupsel,20161117,   89,   98,   76
  Hupsel,20161118,   87,   99,   73
  Hupsel,20161119,   81,   88,   73
  Hupsel,20161120,   74,  100,   57
  Hupsel,20161121,   81,   99,   69
  Hupsel,20161122,   76,   95,   69
  Hupsel,20161123,   91,   99,   78
  Hupsel,20161124,   81,   89,   68
  Hupsel,20161125,   82,   95,   59
  Hupsel,20161126,   97,   98,   94
  Hupsel,20161127,   90,   98,   75
  Hupsel,20161128,   82,   96,   64
  Hupsel,20161129,   87,   96,   61
  Hupsel,20161130,   84,   95,   79
  Hupsel,20161201,   90,   93,   80
  Hupsel,20161202,   87,   98,   63
  Hupsel,20161203,   95,   98,   89
  Hupsel,20161204,   87,   98,   73
  Hupsel,20161205,   82,   95,   57
  Hupsel,20161206,   88,   95,   73
  Hupsel,20161207,   78,   90,   71
  Hupsel,20161208,   73,   87,   63
  Hupsel,20161209,   89,   96,   80
  Hupsel,20161210,   92,   97,   84
  Hupsel,20161211,   90,   97,   81
  Hupsel,20161212,   94,   98,   86
  Hupsel,20161213,   94,   98,   84
  Hupsel,20161214,   98,   98,   96
  Hupsel,20161215,   96,   98,   91
  Hupsel,20161216,   91,   97,   80
  Hupsel,20161217,   92,   98,   87
